Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\Amol progenitor 96.96 index sort\141028EES Amol index plate2\ChipRun.bml,1361995093,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-10-28 12:41:43,00:30:58,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A60, P2 A6,Unknown,1,Nfe2,Test,14.0464112403771,0.989364220005246,Pass,0.0203228454321514,84.2258093907205,999,1,
S06-A59, P2 A6,Unknown,1,Zfp612,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A58, P2 A6,Unknown,1,Tcf3,Test,12.1193988101893,1,Pass,0.0203228454321514,85.4115635109776,999,1,
S06-A57, P2 A6,Unknown,1,Nkx2-3,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A56, P2 A6,Unknown,1,Ly6a,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A55, P2 A6,Unknown,1,Etv6,Test,12.4052610284616,1,Pass,0.0203228454321514,81.3953366752698,999,1,
S06-A66, P2 A6,Unknown,1,CDK2,Test,12.5643241235349,1,Pass,0.0203228454321514,83.0078401610879,999,1,
S06-A65, P2 A6,Unknown,1,Tal1,Test,999,0,Fail,0.0203228454321514,999,999,0,
S06-A64, P2 A6,Unknown,1,Meis1,Test,14.2547190821751,1,Pass,0.0203228454321514,79.0648303171025,999,1,
S06-A63, P2 A6,Unknown,1,Gata2,Test,20.2226559880841,0,Fail,0.0203228454321514,999,78.0203881802927,0,
