Chip Run Info,C:\Users\eva\Documents\Fluidigm\Result\DB\Amol\141104EES Plate3 Amol index\ChipRun.bml,1361995087,96.96 (136x),GE 96x96 Fast PCR+Melt v2,ROX,EvaGreen,2014-11-04 16:17:18,00:30:47,BIOMARKHD151
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,User
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S06-A28, P3 A6,Unknown,1,Jun,Test,17.3490361240096,1,Pass,0.01733464063088,85.3548908390515,999,1,
S06-A29, P3 A6,Unknown,1,Rb1,Test,16.2291876363011,1,Pass,0.01733464063088,81.3875365742845,999,1,
S06-A30, P3 A6,Unknown,1,cbx6,Test,17.421836727378,1,Pass,0.01733464063088,84.2847842278726,999,1,
S06-A31, P3 A6,Unknown,1,Csf1r,Test,14.9628008769069,1,Pass,0.01733464063088,83.6363202362402,999,1,
S06-A32, P3 A6,Unknown,1,Itga2b,Test,23.6131302805995,1,Pass,0.01733464063088,82.945535167996,999,1,
S06-A33, P3 A6,Unknown,1,ndn,Test,22.8913693572257,0,Fail,0.01733464063088,999,81.2843075371628,0,
S06-A34, P3 A6,Unknown,1,Runx1,Test,13.2406536027511,0,Pass,0.01733464063088,84.8287518592285,75.5473756114281,0.679443409338928,
S06-A35, P3 A6,Unknown,1,zbtb20,Test,20.5901271901256,1,Pass,0.01733464063088,77.5529471035248,999,1,
S06-A36, P3 A6,Unknown,1,Hhex ,Test,14.9317402754168,1,Pass,0.01733464063088,83.8663935913993,999,1,
S06-A37, P3 A6,Unknown,1,Ccnd3,Test,15.2239909882413,0,Pass,0.01733464063088,85.136010964584,79.0622490583339,0.691468258264489,
S06-A38, P3 A6,Unknown,1,Dnmt3a,Test,14.3737865097216,1,Pass,0.01733464063088,82.3971209562484,999,1,
S06-A39, P3 A6,Unknown,1,Gapdh,Test,9.49929390482376,1,Pass,0.01733464063088,84.2192025147706,999,1,
S06-A40, P3 A6,Unknown,1,Kit,Test,11.5150406023673,1,Pass,0.01733464063088,81.0084664976518,999,1,
S06-A41, P3 A6,Unknown,1,Sfpi,Test,12.7387351190481,1,Pass,0.01733464063088,83.2644598569823,999,1,
S06-A42, P3 A6,Unknown,1,Cbx7,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A43, P3 A6,Unknown,1,Epor,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A44, P3 A6,Unknown,1,Ldb1,Test,13.4498985760348,1,Pass,0.01733464063088,83.6390806610927,999,1,
S06-A45, P3 A6,Unknown,1,Nfat5,Test,14.7836819919761,1,Pass,0.01733464063088,82.1331827759658,999,1,
S06-A46, P3 A6,Unknown,1,Tcf15,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A47, P3 A6,Unknown,1,Zfp37,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A48, P3 A6,Unknown,1,Klf1,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A54, P3 A6,Unknown,1,Ccne1,Test,15.1296503293087,1,Pass,0.01733464063088,83.7287486166507,999,1,
S06-A53, P3 A6,Unknown,1,Slamf1,Test,999,0,Fail,0.01733464063088,999,999,0,
S06-A52, P3 A6,Unknown,1,Lmo2,Test,11.6473620105887,1,Pass,0.01733464063088,82.0038387112362,999,1,
